教学环节,学习内容,资源编号,成果要求
课前：项目发布与需求分析,任务边界与验收证据诊断,P09-T01-H5-QUIZ-01,完成T0诊断，形成错因清单
课前：项目发布与需求分析,三级接口、Proteus电路预诊断,P09-T03-H5-QUIZ-01,提交接口判断与电路检查结果
第1节：项目分析与方案设计,8N1、SCON、SBUF、TI/RI知识学习,P09-T01-H5-ANIM-01,完成交互步骤与初始化记录
第1节：项目分析与方案设计,Timer1方式2与波特率误差校核,P09-T02-H5-CALC-01,提交TH1计算和误差证据
第1节：项目分析与方案设计,参数、文本格式与方案校核,P09-T02-H5-QUIZ-01,达到教案规定阈值并订正
第2节：基础任务功能开发,LM35＋OLED基线叠加虚拟终端输出与字符回显,P09-T03-H5-ANIM-01,OLED/终端同源显示、回显、无输出诊断
基础任务阶段考核,基础任务功能与证据验收,P09-STAGE-EVAL-FLOW-01,提交参数、接线、截图和测试数据
基础任务知识测试,UART发送、回显与500 ms调度,P09-T04-H5-QUIZ-01,测试—订正—复测闭环
第3节：进阶任务功能开发,U3发送、U4接收及AA55帧头与14字节收帧,P09-T04-H5-ANIM-02,完成双端同显、三点一致性和连续运行
第3节：进阶任务知识深化,U4短ISR、收帧缓冲和主循环取帧,P09-T04-H5-ANIM-01,形成收帧状态与临界区记录
第3节：进阶任务联调,双节点完整调试路径,P09-T03-VD-01,完成断线2秒、NO DATA与自动恢复
进阶任务阶段考核,U3/U4职责、链路与故障恢复验收,P09-STAGE-EVAL-FLOW-01,提交U3/U4工程及联调证据
进阶任务知识测试,14字节收帧、并发保护、超时恢复,P09-T05-H5-QUIZ-01,测试—订正—复测闭环
第4节：提升任务功能开发,USB-TTL、PC日志与命令交互,P09-T05-H5-ANIM-01,完成周期上报、PING/STATUS/异常命令
提升任务阶段考核,单片机—PC通信功能与证据验收,P09-STAGE-EVAL-FLOW-01,提交接线、COM参数、日志和响应记录
提升任务知识测试,PC串口连接与命令处理,P09-T04-H5-QUIZ-02,测试—订正—复测闭环
第4节：集成调试与实操训练,三级功能综合知识检测,P09-H5-UNIT-01,作为知识证据，不重复形成项目总分
第4节：项目考核评价,项目唯一100分终评,P09-EVAL-H5-01,功能60＋工程/调试/电路30＋证据5＋协作迁移5
总结反思与课后拓展,三级任务知识能力复盘与迁移,P09-H5-MAP-01,输出问题链、改进项和迁移任务
