维度,评分点,分值,考核要求,应交证据,得分
任务功能,串口参数配置,5,两节点9600 bit/s与8N1及初值正确,参数计算表+寄存器配置截图+误差数据,
任务功能,字符A最小闭环,5,连续20次收发一致,运行截图+串口日志+测试数据,
任务功能,单字节发送函数,5,写SBUF等待TI清TI流程正确,源文件+TI变量观察+实测日志,
任务功能,PC文本与命令应答,5,完整发送温度文本且PING与STATUS应答正确,源文件+连续字符串日志+异常统计,
任务功能,LM35采集与换算,6,三个输入点换算正确且误差达标,三点对照表+仿真参数截图,
任务功能,LM35文本与14字节组帧,4,基础文本和进阶帧字段与同一温度快照一致,报文样例+串口截图/日志,
任务功能,RI中断接收,6,读SBUF及时清RI且无重复或丢字,ISR源文件+变量观察+计数数据,
任务功能,14字节收帧与缓冲边界,6,识别AA55并收满14字节后安全取帧且预留字段正确,缓冲变量截图+边界测试数据+源文件,
任务功能,OLED数据显示,7,显示正确及时清晰且不闪烁,OLED截图/视频帧+刷新记录,
任务功能,双节点同步同显,7,三个温度点终端与OLED同步一致,双节点截图+三点一致性表+日志,
任务功能,连续运行与异常处理,4,连续5分钟并能处理异常恢复,测试记录+故障前后截图/数据,
工程规范·调试诊断·电路绘制,电路原理图绘制,8,器件网络完整且TXD/RXD交叉共地正确并规范可读,原理图源文件+完整截图/PDF+ERC或网络核对表,
工程规范·调试诊断·电路绘制,参数与接口规范,5,接口与参数统一且依据明确,接口表+参数表+数据手册依据,
工程规范·调试诊断·电路绘制,编码与模块规范,5,命名注释结构规范且ISR短小职责清晰,工程源文件+规范测评报告+模块截图,
工程规范·调试诊断·电路绘制,分层调试诊断,6,按参数电路发送接收缓冲显示逐级有据定位,调试记录+变量/波形/日志+定位结论,
工程规范·调试诊断·电路绘制,故障闭环与复测,6,至少完成1个现象至复测完整闭环,闭环表+修复前后证据+复测数据,
证据质量,完整且要求一致,3,逐项对应要求并足以支撑分值,证据索引表/交付清单+缺项说明,
证据质量,真实可追溯,2,命名规范数据一致且可复现核验,文件清单+版本时间记录+复核签名,
协作与迁移,岗位协作与贡献,2,分工明确且能说明个人贡献,分工表+提交记录+个人说明,
协作与迁移,联调表达与互检,1,说明问题及解决依据并完成互检,答辩要点+互检记录,
协作与迁移,参数迁移应用,2,能迁移湿度电流或电压并说明修改点,迁移方案+修改点清单+验证数据,
