编号,名称,类型,教学环节,说明,入口
P09-H5-LESSON-MAP-01,教案与数字资源逐项映射,教学导航,全流程,按教案教学节点逐项定位知识学习、功能开发、阶段考核、知识测试与成果证据。,index.html#P09-H5-LESSON-MAP-01
P09-H5-MAP-01,项目9三级任务知识与能力图谱,知识导航,课前/方案,按基础—进阶U3/U4—提升建立知识、功能、证据和评价链。,index.html#P09-H5-MAP-01
P09-T01-H5-ANIM-01,UART 8N1与初始化交互动画,H5动画,课前/方案,观察8N1帧、SCON、Timer1方式2、SBUF和TI。,index.html#P09-T01-H5-ANIM-01
P09-T02-H5-CALC-01,Timer1波特率计算与误差校核,计算工具,课前/方案,校核11.0592 MHz、1T、SMOD=0、TH1=0xDC。,index.html#P09-T02-H5-CALC-01
P09-T03-H5-ANIM-01,基础任务：LM35＋OLED与虚拟终端闭环,H5动画,基础任务,复用采集显示基线，完成温度文本输出、字符回显和无输出诊断。,index.html#P09-T03-H5-ANIM-01
P09-T04-H5-QUIZ-01,基础任务知识测试,智能测验,基础任务,UART发送、字符回显、同源温度快照和500 ms调度。,h5/P09-T04-H5-QUIZ-01_基础任务_UART发送与字符回显.html
P09-T04-H5-ANIM-02,进阶任务：U3发送与U4接收链路,H5动画,进阶任务,AA55帧头与14字节收帧、双端同显和2秒断线恢复。,index.html#P09-T04-H5-ANIM-02
P09-T04-H5-ANIM-01,U4串口中断与收帧缓冲,H5动画,进阶任务,可视化RI、SBUF、rx_index、frame_ready及短ISR。,index.html#P09-T04-H5-ANIM-01
P09-T05-H5-QUIZ-01,进阶任务知识测试,智能测验,进阶任务,U3/U4分工、14字节收帧、临界区、超时与恢复。,h5/P09-T05-H5-QUIZ-01_进阶任务_双机收发与超时恢复.html
P09-T03-VD-01,双节点联调互动微课,互动微课,进阶任务,参数—接线—U3发送—U4收帧—OLED显示—断线恢复诊断链。,index.html#P09-T03-VD-01
P09-T05-H5-ANIM-01,提升任务：USB-TTL与PC命令通信,H5动画,提升任务,500 ms主动上报，响应PING、STATUS和异常命令。,index.html#P09-T05-H5-ANIM-01
P09-T04-H5-QUIZ-02,提升任务知识测试,智能测验,提升任务,USB-TTL、COM口、PC日志和命令处理。,h5/P09-T04-H5-QUIZ-02_提升任务_USB-TTL与PC通信测试.html
P09-T01-H5-QUIZ-01,课前T0：三级任务需求诊断,智能测验,课前/方案,诊断功能基线、三级任务边界及验收证据。,h5/P09-T01-H5-QUIZ-01_课前T0_三级任务需求与验收诊断.html
P09-T02-H5-QUIZ-01,方案校核：串口参数与文本格式,智能测验,课前/方案,校核8N1、Timer1、TH1、SCON和LM35文本格式。,h5/P09-T02-H5-QUIZ-01_方案校核_串口参数与文本格式.html
P09-T03-H5-QUIZ-01,接口与Proteus电路诊断,智能测验,课前/方案,检查TXD/RXD、共地、电平、LM35/OLED接口和仿真参数。,h5/P09-T03-H5-QUIZ-01_课前T0_三级接口与Proteus电路诊断.html
P09-UART-TIMER-QUIZ-01,UART预习与定时器强化自测,强化自测,课前/方案,UART方式1、Timer1方式2、波特率与中断标志强化。,h5/P09-UART-TIMER-QUIZ-01_UART预习与定时器强化自测.html
P09-H5-UNIT-01,项目9三级任务综合知识检测,综合测试,考核评价,项目终评前形成知识证据，不另设项目总分。,h5/P09-H5-UNIT-01_项目9三级任务综合知识检测.html
P09-STAGE-EVAL-FLOW-01,三级分任务考核评价与流程,阶段评价,考核评价,基础、进阶、提升任务过程考核、证据提交和改进。,h5/P09-STAGE-EVAL-FLOW-01_三级任务考核评价与流程.html
P09-EVAL-H5-01,项目考核评价H5（教案P09-H5-EVAL）,项目终评,考核评价,功能60分、工程与电路30分、证据5分、协作迁移5分。,h5/P09-EVAL-H5-01_项目考核评价.html
